"AssetId","Name","AssetTypeId","AssetType","CreatedUtc","CreatorId","CreatorName","EvidenceSource"
"121162372013474","Material","1","Image","2026-04-17T08:00:06Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"95996184868525","Material","1","Image","2026-04-17T08:00:14Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"105613101532268","tripo_material_bb977fda...0-4d6a-90d9-dddcbcb654bf","1","Image","2026-04-17T08:00:25Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"137412199458611","tripo_material_bb977fda...0-4d6a-90d9-dddcbcb654bf","1","Image","2026-04-17T08:00:26Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"122360431155348","Material","1","Image","2026-04-17T08:01:13Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"120664665950600","Material","1","Image","2026-04-17T08:02:34Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"73950273676364","Material","1","Image","2026-04-17T08:02:42Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"104674907871362","Material","1","Image","2026-04-17T08:02:48Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"92437567879911","Material","1","Image","2026-04-17T08:02:57Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"124305827880061","Material","1","Image","2026-04-17T08:02:58Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"73167482689394","Material","1","Image","2026-04-17T08:02:58Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"86240499615814","Material","1","Image","2026-04-17T08:03:10Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"138699008126378","Material","1","Image","2026-04-17T08:03:22Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"77728286220622","Material","1","Image","2026-04-17T08:03:22Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"124962680625425","Material","1","Image","2026-04-17T08:03:44Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"93877325408940","Material","1","Image","2026-04-17T08:03:54Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"107666618107190","Material","1","Image","2026-04-17T08:06:06Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"126740443232185","Material","1","Image","2026-04-17T08:11:10Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"126701131152387","Material","1","Image","2026-04-17T08:11:15Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"94003739585010","Material","1","Image","2026-04-17T08:14:19Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"84648411922410","Material","1","Image","2026-04-17T08:40:49Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"80587828332317","tool_flashlight_on","3","Audio","2026-04-17T08:50:48Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"120753455173347","hunt_end","3","Audio","2026-04-17T08:50:56Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"129860501817215","ui_rank_down","3","Audio","2026-04-17T08:51:22Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"122180404466128","bgm_investigation_calm","3","Audio","2026-04-17T08:54:09Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"95603954571925","interact_prompt","3","Audio","2026-04-17T08:54:11Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"82715593422576","door_creak_2","3","Audio","2026-04-17T08:54:15Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"73745959381902","ui_royal_pass_level","3","Audio","2026-04-17T08:54:20Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"83575524476905","bgm_investigation_danger","3","Audio","2026-04-17T08:54:50Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"83669140636647","glass_break","3","Audio","2026-04-17T08:54:53Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"138414484150983","player_heartbeat_fast","3","Audio","2026-04-17T08:54:57Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"102242733259982","player_heartbeat_slow","3","Audio","2026-04-17T08:57:36Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"115954809364920","player_footstep_wood_2","3","Audio","2026-04-17T08:57:41Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"106669695850261","ui_toggle","3","Audio","2026-04-17T08:57:44Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"124947070577817","objective_update","3","Audio","2026-04-17T08:57:47Z","10576163165","ZyraaaVex","StudioItemConfig"
"124573957880739","ghost_footstep_3","3","Audio","2026-04-17T08:58:22Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"100243546043871","Material","1","Image","2026-04-17T08:58:53Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"121331688298052","Material","1","Image","2026-04-17T08:59:05Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"80480503398099","motion_sensor_trigger","3","Audio","2026-04-17T09:00:21Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"112582017501412","PASRAHPHOBIA ICON","1","Image","2026-04-17T09:00:23Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"119286771362563","player_footstep_wood_3","3","Audio","2026-04-17T09:00:25Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"133274095055108","wind_howl_loop","3","Audio","2026-04-17T09:00:55Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"81811590020534","ui_confirm","3","Audio","2026-04-17T09:01:04Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"94410323287613","ghost_whisper_1","3","Audio","2026-04-17T09:01:28Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"137192513739297","orb_camera_click","3","Audio","2026-04-17T09:02:02Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"79018239579007","stamina_depleted","3","Audio","2026-04-17T09:02:41Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"105735019437588","emf_beep_low","3","Audio","2026-04-17T09:05:34Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"82519791111054","bgm_results_lose","3","Audio","2026-04-17T09:05:46Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
"115675424278576","hunt_start","3","Audio","2026-04-17T09:05:50Z","10576163165","ZyraaaVex","StudioInventoryThumbnail"
